title,brand,author,cover,publication_date,category,reviews,num_pages,price,img_url,Language,url
Yes or No,هاربر كولينز,‎Spencer Johnson‎,Paperback,1993,تطوير الذات,Not found,‎112‎ Pages‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/2/8/0/0280f149fad0ca38398bb06aa34023437f290397_637449.jpg",انجليزي,
Words to Inspire You Every Day!,The Happy Book Company,‎Staffs of Happy Book Company‎,Spiral Bound Cover,2024,تطوير الذات,Not found,‎365‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/b/8/b/8b8b542f6237970b35abd9b6861125bfe1451c19_644417.jpg",انجليزي,
Believe In You,The Happy Book Company,‎Staffs of Happy Book Company‎,Spiral Bound Cover,2024,تطوير الذات,Not found,‎365‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/3/0/5/230559b1a444c460c0bf949756d699e40dd9c72c_644423.jpg",انجليزي,
Is it Me,دار علبز النشر العربي,‎Lara Majdi Samhan‎,Paperback,2022,تطوير الذات,17,‎155‎ Pages‎,35,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/a/6/0/7a60ec70322c24f989b72bf452516cbe6a0f7f7a_590250.jpg",انجليزي,
The Secret,سيمون وشوستر,‎Rhonda Byrne‎,Hardcover,2006,تطوير الذات,4,‎صفحة208‎,115,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/0/306076.jpg",انجليزي,
What I Know for Sure,مجموعة نشر Holtzbrinck,‎Oprah Winfrey‎,Hardcover,2014,تطوير الذات,4,‎صفحة240‎,79,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/3/432392.jpg",انجليزي,
Ikigai - The Japanese Secret to a Long and Happy Life,منزل عشوائي,‎Hector Garcia‎,Hardcover,2017,تطوير الذات,2,‎صفحة208‎,105,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488909.jpg",انجليزي,
Think Rich to Get Rich!: Secrets of The Millionaire Mind - Mastering The Inner Game of Wealth,هاربر كولينز,‎T. Harv Eker‎,Paperback,2007,تطوير الذات,2,‎224‎ Pages‎,45,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/299691.jpg",انجليزي,
Outliers,البطريق,‎Malcolm Gladwell‎,Paperback,2009,تطوير الذات,2,‎صفحة 320‎,61,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/b/c/5/2/bc524e781db65c3f60ad4ff5557550f8c9d9e89d_400087.jpg",انجليزي,
Who Says You Can't? You Do,منزل عشوائي,‎Daniel Chidiac‎,Paperback,2018,تطوير الذات,1,‎368‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/499372.jpg",انجليزي,
