,publication_date,num_pages,price,الادارة والاعمال,الادب والشعر,التاريخ والجغرافيا,التراجم والسير,التقنية والكمبيوتر,الخيال العلمي,العلوم الاجتماعية والسياسية,العلوم والرياضيات,القانون,القصة والرواية,الكتب الطبية,تطوير الذات,دراسات اسلامية,وصل حديثاً,cover_غلاف مقوى,cover_غلاف مقوى فني,cover_غلاف ورقي,cover_كتاب الكتروني,Language_انجليزي,Language_عربي,Cluster,image_urls,title,author
0,2017,367,99.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/0/508802.jpg",Basic Concepts in Pharmacology,‎Janet Stringer‎
1,2024,328,69.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/9/c/2/49c2c2785f5d2cec1202d57fa239b592eb3087bc_644731.jpg",‎الصدف السوداء‎,‎ندى سمير شرف‎
2,2020,336,69.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549063.jpg",No Filter - The Inside Story of Instagram,‎Sarah Frier‎
3,2015,212,195.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/1/9/e/0/19e0317906412ddf9ddbaa143e3b3a0f6ad9314d_9781852332365.jpg",A First Course in Discrete Mathematics,"Lian, Brian"
4,2008,232,216.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/8/a/f/b/8afb44cbfb9676e85b3988ca4cf9ba0d7025504b_9783764327231.jpg",Numerical Methods for Conservation Laws,"LeVeque, Randall J."
5,2022,512,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/b/5/9/f/b59f1a1aef53499afd6b4c68d70e39ef26f5a9f2_593903.jpg",After Steve,‎Tripp Mickle‎
6,2011,628,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/3/438348.jpg",Electromagnetism Theory & Problems,‎S. L. Kakani‎
7,2018,304,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/504569.jpg",‎من ديوان السياسة استبانة‎,‎عبدالله العروي‎
8,2024,429,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/6/a/6/2/6a624c439cf3cb95ec08fd5879faf453e74dfc06_645959.jpg",‎أوضاع الدول الاسلامية في الشرق الاسلامي‎,‎سعد محمد حذيفة مسفر الغامدي‎
9,2017,342,99.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/486848.jpg",Obstetrics,‎Louise Kenny‎
